,abalone,aloi,annthyroid,arrhytmia,breastcancer,cardio,cover,http_all,http_logged,ionosphere,kdd99,kdd_finger,kdd_ftp,kdd_ftp_distinct,kdd_http,kdd_http_distinct,kdd_other,kdd_smtp,kdd_smtp_distinct,magicgamma,mammography,mnist,mulcross,musk,penglobal,pima_odds,satellite,satimages,shuttle_odds,smtp_all,spambase,thyroid,vertebral,vowels_odds,wbc,wikiqoe,wine,yeast,mean,var
n,1920.0,50000.0,7200.0,452.0,683.0,1831.0,286048.0,623091.0,567498.0,351.0,620098.0,1033.0,5214.0,2876.0,623091.0,222027.0,12844.0,96554.0,71257.0,19020.0,11183.0,7603.0,262144.0,3062.0,809.0,768.0,5100.0,5803.0,49097.0,96554.0,4601.0,3772.0,240.0,1456.0,378.0,55932.0,4898.0,1191.0,98096.81578947368,35524389951.72923
anomaly,29.0,1508.0,534.0,66.0,239.0,176.0,2747.0,4045.0,2211.0,126.0,1052.0,25.0,1393.0,282.0,4045.0,75.0,478.0,1183.0,25.0,6688.0,260.0,700.0,26214.0,97.0,90.0,268.0,75.0,71.0,3511.0,1183.0,1813.0,93.0,30.0,50.0,21.0,4494.0,25.0,55.0,1736.2368421052631,18626928.707063712
rhf_ap,0.3797779558959966,0.0381373160245342,0.24697395977242806,0.43805485363337776,0.9514180710812972,0.6513722222282393,0.08553312579707216,0.585154230300735,0.9829717642751324,0.7912096519269893,0.7614939881501153,0.27293013944211936,0.9111736624415515,0.44289545914029216,0.5620975480695566,0.7887447608202753,0.49518922901446366,0.3159361464672514,0.07054763606309523,0.6213894228200425,0.10741067210510614,0.33122464700827037,0.7766320538904811,0.9999999999999999,0.528711790837482,0.4997855338253562,0.6436673811817789,0.938381187485101,0.925860751530803,0.9510159818260175,0.37834584444882036,0.5875958835461307,0.08893835312552362,0.09188225309942108,0.5781528205450532,0.13619991578449836,0.052892785328227575,0.2381591826084028,0.5065225837247641,0.09218016166736832
rbo_clu,0.3055084827449584,0.03135488836741104,0.19046974056929722,0.2526669798076127,0.6543936027089958,0.4505339813122026,0.03129058048029795,0.8463285574287105,0.9800711931331053,0.7461743342426341,0.7145545383448223,0.15723274698404907,0.8318668647605999,0.243485663095301,0.5340547272468981,0.6513266633314441,0.24573972726841423,0.013208368444946623,0.050607953023672554,0.5436906895241942,0.1370186358577411,0.14263232850496566,0.5813078520309468,0.11140335395690863,0.23660055103008576,0.47859857814359963,0.4196748826443169,0.43502735641652135,0.45338976536956554,0.7358471244458259,0.45037761298397794,0.29553240431928035,0.12960658972170822,0.06116794927062025,0.3220809937290381,0.08201368964215171,0.04127078873908263,0.23597572089821037,0.36379174896116095,0.06977242729099442
rbo_ave,0.2714583432421881,0.032955711220531606,0.16297509891446602,0.25480197252355946,0.7885556279581383,0.4287391182898,0.026009010669638243,0.9129652372403236,0.9793730374739551,0.7467567409179134,0.6436870212139135,0.2566086615656723,0.8247564353916755,0.24405206176261532,0.5357878621573435,0.6625142535190344,0.3792338232467936,0.012733809265934003,0.04283619490079551,0.5513529492485307,0.1708080299467354,0.16690538260653856,0.7412700631860012,0.10179751296797185,0.2765467003591906,0.4995905966841717,0.5083231785697481,0.40582101027314127,0.3743002581921953,0.9212283523103162,0.44537438150044073,0.2692615177796386,0.12441963661461139,0.05276237390150851,0.33499657694351204,0.08202296126357286,0.038021181203760815,0.2363430303564289,0.38178804514163955,0.07894397611537175
rbo_clu_gap,0.07426947315103821,0.006782427657123155,0.05650421920313084,0.18538787382576505,0.29702446837230134,0.2008382409160367,0.05424254531677421,-0.2611743271279755,0.0029005711420271307,0.0450353176843552,0.046939449805292965,0.11569739245807029,0.07930679768095161,0.19940979604499115,0.02804282082265852,0.13741809748883127,0.24944950174604943,0.30272777802230477,0.01993968303942268,0.07769873329584831,-0.029607963752634955,0.1885923185033047,0.19532420185953425,0.8885966460430913,0.29211123980739623,0.021186955681756547,0.223992498537462,0.5033538310685797,0.4724709861612375,0.21516885738019165,-0.07203176853515758,0.29206347922685033,-0.0406682365961846,0.030714303828800832,0.25607182681601515,0.05418622614234665,0.011621996589144944,0.0021834617101924303,0.1427308347636033,0.03676653379778303
rbo_ave_gap,0.10831961265380852,0.005181604804002593,0.08399886085796204,0.1832528811098183,0.1628624431231589,0.22263310393843933,0.05952411512743391,-0.32781100693958865,0.0035987268011773432,0.04445291100907589,0.11780696693620174,0.016321477876447055,0.08641722704987598,0.19884339737767684,0.026309685912213054,0.12623050730124097,0.11595540576767005,0.3032023372013174,0.027711441162299726,0.07003647357151177,-0.06339735784162927,0.1643192644017318,0.03536199070447987,0.898202487032028,0.2521650904782914,0.00019493714118445915,0.13534420261203084,0.5325601772119597,0.5515604933386078,0.029787629515701353,-0.06702853705162037,0.3183343657664921,-0.03548128348908777,0.03911987919791257,0.2431562436015412,0.0541769545209255,0.01487160412446676,0.0018161522519739015,0.12473453858312451,0.03999079708808741
rbo_clu_gap/%,19.556025303210895,17.78422910715567,22.87861410781774,42.320698489719774,31.219132513925214,30.83309881238126,63.41700342562595,-44.63341690168542,0.2950818372861486,5.691957570875404,6.164126117308187,42.390845032564236,8.703807073225061,45.02412294586787,4.988959820046817,17.422378482225326,50.37458149938141,95.81929178011427,28.264140589472557,12.504032164440343,-27.565197361079946,56.93788798832827,25.150159703178883,88.85966460430915,55.249617063521626,4.239209470428583,34.79941738327796,53.640656673604894,51.03045845501731,22.625156831439604,-19.038604385914294,49.704820507634,-45.726320723284886,33.42789580439049,44.29137378843946,39.78433160566893,21.97274451898182,0.916807694029847,26.08733656297186,919.4508940749762
rbo_ave_gap/%,28.521827286750728,13.586705474158705,34.01122164270357,41.83331826821591,17.11786312173616,34.17909090087499,69.59188568491606,-56.02130002052843,0.36610683358042667,5.6183479183818,15.470505187097833,5.980093627552032,9.484166478025184,44.89623753733066,4.6806263436960185,16.003974108172116,23.41638286407138,95.96949908760949,39.28046736748999,11.270947170884607,-59.023332224932105,49.609612655917154,4.553248932662074,89.82024870320281,47.694243791851264,0.03900415838217869,21.027040761881967,56.75307479674036,59.57272650629878,3.132190213933841,-17.716208076573036,54.17573109010735,-39.8942438691338,42.57609916855538,42.057434463833594,39.77752424358816,28.116507822722188,0.7625791422706301,23.11293287273758,1091.8865940299793
