,abalone,aloi,annthyroid,arrhytmia,breastcancer,cardio,cover,http_all,http_logged,ionosphere,kdd99,kdd_finger,kdd_ftp,kdd_ftp_distinct,kdd_http,kdd_http_distinct,kdd_other,kdd_smtp,kdd_smtp_distinct,magicgamma,mammography,mnist,mulcross,musk,penglobal,pima_odds,satellite,satimages,shuttle_odds,smtp_all,spambase,thyroid,vertebral,vowels_odds,wbc,wikiqoe,wine,yeast,mean,var
kendall_weighted_kendall,0.24352378366130617,0.03129480783164238,0.3290846592171201,0.3108949376894054,0.8880963664212721,0.6228263341813004,0.014232145202952063,0.6971842630246015,0.6598554897043101,0.761783081692186,0.4463472519493118,0.4385512214566369,0.5646944086317094,0.41952776993684743,0.5458415513879865,0.6158853869800952,0.5226150910477001,0.012979332199798521,0.040404752736101904,0.6029461346568502,0.0836530528345918,0.3577095170577595,0.6109266587265612,0.7730384710403919,0.39864985549652787,0.42537012682164677,0.20405861322338414,0.33710471122440167,0.9451901114899721,0.7583436961875274,0.41536417602256615,0.3333523826020366,0.10370557024040747,0.06147179979616106,0.4055319897024192,0.11080435148244115,0.015847876593425323,0.16449889004692447,0.4019260689525863,0.06786686259402755
kendall_rbo,0.05149465517630482,0.032214203222428774,0.3750039738947667,0.26831245012683685,0.8647319469022665,0.5244841366221672,0.03342681704348416,0.2515764371384968,0.8488341621029233,0.7257234946510178,0.46301785785762634,0.19483222397962646,0.6282714327373277,0.3548891557300373,0.5463884520252682,0.851405616113932,0.5988486402123451,0.6779943372116497,0.05376379348304405,0.6126931552221875,0.10004869107312096,0.41555667507232547,0.44214817554316144,0.8156775572885777,0.6525049344012629,0.4420544105102102,0.48301717822942547,0.6918695388315994,0.906723529237682,0.7174111870801093,0.49969217718586306,0.3102395389952942,0.17185605038471213,0.08985023281077742,0.2816341112502342,0.11408374754219669,0.006144544615454921,0.18458651941746165,0.4285001510769265,0.07342149462751514
kendall_weighted_rbo,0.26056342296359924,0.03133126604704786,0.35107618459752754,0.45260784104668306,0.8362482455286782,0.37479993164216163,0.2972312062723316,0.025389903372255076,0.8179965967351578,0.667655781779735,0.4304922482783813,0.33705546603284975,0.8891547566833815,0.4285960098086964,0.5512156252707645,0.851405616113932,0.8045809787818431,0.6779943372116497,0.05376379348304405,0.5852004005383115,0.07266107191343914,0.1781846316380701,0.5976473455466483,0.48102230818403113,0.4787584034461704,0.43382531372784067,0.40865246486119566,0.45184721538580197,0.9438538128941515,0.5492380277648358,0.398541332841543,0.5343858225843123,0.10573369314159202,0.10344684388874119,0.36098451748669874,0.11408374754219669,0.012571283799587768,0.13791928426462272,0.4233609666605135,0.06893531466933857
kendall_Spearmanr,0.18350129558796743,0.03183888263787372,0.36479901710057633,0.25317754314308294,0.8968812911508717,0.36245665533933313,0.014390776597751993,0.05441597702378622,0.022588001265336458,0.6210904398695107,0.4716589524053717,0.33430300656374334,0.6272773040224214,0.41952776993684743,0.5441532135634536,0.6118845072417395,0.5475534433929796,0.19862029994276426,0.03242125674014197,0.5740665080493039,0.11720152882660129,0.18018719332480398,0.6265414706395004,0.409119475499748,0.39705571761371705,0.42537012682164677,0.5044042234913763,0.38334629727603875,0.9451901114899721,0.7730380790954859,0.4214122435888625,0.19130895358333186,0.1138099318981672,0.07027266764675086,0.22757073844030368,0.10574783254006477,0.006754834124881292,0.12436092969308232,0.34708680255708413,0.06239341985882453
weighted_kendall_rbo,0.22500896064033174,0.02943685355151736,0.316853789773512,0.22674548511860584,0.8832804309322352,0.6296580837602602,0.03342681704348416,0.6885944145747198,0.9661145740992872,0.7993310481270282,0.44912270067222654,0.27641487886722793,0.5481465183478047,0.2680348614843869,0.5417885420982895,0.8201127257613147,0.6551838400607485,0.292893680598762,0.04033452061397642,0.5426274323270038,0.10004869107312096,0.4406284337925146,0.38431625508114453,0.8802832222244237,0.5342183648434595,0.4420544105102102,0.48301717822942547,0.6918695388315994,0.906723529237682,0.7000289453740475,0.5131931515162445,0.4444673537306967,0.1562274740891762,0.08359691820303664,0.3533435288859008,0.1104298063530928,0.030744706879698897,0.1879790034595776,0.43884949133599416,0.07458465900625343
weighted_kendall_weighted_rbo,0.44406917460020007,0.030512223302949962,0.26381389242446773,0.41127029334538445,0.8911133055707332,0.4992790956950779,0.2972312062723316,0.7033404816441586,0.9756526670148992,0.779081730548568,0.4259893640604005,0.3656978134267582,0.7845158724582817,0.296096893333727,0.5457164767645019,0.8201127257613147,0.779042643723601,0.292893680598762,0.04033452061397642,0.5191123628667953,0.07266107191343914,0.32607479667669176,0.6175461233756893,0.6322566924845818,0.45370484933425953,0.43382531372784067,0.40865246486119566,0.45184721538580197,0.9438538128941515,0.5558189851961196,0.38747009761395135,0.5569601004661497,0.11038765747845032,0.09837292714685945,0.41901127770702595,0.1104298063530928,0.07112702375392202,0.15704509181265222,0.4466295192686516,0.06715567541185864
weighted_kendall_Spearmanr,0.46167952714278215,0.03129480783164238,0.3290846592171201,0.3108949376894054,0.9274866267449724,0.6228263341813004,0.014390776597751993,0.6971842630246015,0.6598554897043101,0.761783081692186,0.38166052218188584,0.41467817393254247,0.5646944086317094,0.2777719260082583,0.5458415513879865,0.6158853869800952,0.6268371037002873,0.13720800488486296,0.040404752736101904,0.6029461346568502,0.11720152882660129,0.3577095170577595,0.4568731121432714,0.7730384710403919,0.39864985549652787,0.42537012682164677,0.5044042234913763,0.38334629727603875,0.9451901114899721,0.7583436961875274,0.41536417602256615,0.3333523826020366,0.10370557024040747,0.06147179979616106,0.4055319897024192,0.11080435148244115,0.015847876593425323,0.16449889004692447,0.414608222243267,0.06486362560771253
rbo_weighted_rbo,0.30100352197771346,0.030119592238296154,0.3687944555057459,0.37020948375841295,0.8189243868971963,0.35434544170116206,0.6691433067200847,0.055082927877835725,0.985302792274218,0.7058228590374953,0.47179502387022804,0.15412525401547478,0.43577804905485384,0.2081013143758943,0.5513081835607115,0.6866642908539644,0.5727051200496539,0.6787533243133481,0.040299431213266575,0.4544226148705557,0.06504701993882765,0.37570598426627355,0.23173691899829787,0.755869813041262,0.6136433004480044,0.4320886154240176,0.4857724646902577,0.7448741436987643,0.953440178207537,0.5718507325927479,0.43409987035594266,0.5889569262538958,0.17218341056981107,0.10806545266164645,0.35070120033042607,0.10919326079291856,0.011428725268802722,0.16207299898775848,0.42314295764982385,0.06913164978750037
rbo_Spearmanr,0.15551954890361924,0.032214203222428774,0.3750039738947667,0.26831245012683685,0.8714430262160041,0.5244841366221672,0.03504387394341496,0.2515764371384968,0.8488341621029233,0.7257234946510178,0.4813734769742756,0.12203046575447726,0.6282714327373277,0.2680348614843869,0.5463884520252682,0.851405616113932,0.6838104472233476,0.8020819237774296,0.05376379348304405,0.6126931552221875,0.1453189407100896,0.41555667507232547,0.24746756907538353,0.8156775572885777,0.6525049344012629,0.4420544105102102,0.5564189924516285,0.7383845922903669,0.906723529237682,0.7174111870801093,0.49969217718586306,0.3102395389952942,0.17185605038471213,0.08985023281077742,0.2816341112502342,0.11408374754219669,0.006144544615454921,0.18458651941746165,0.43246353268255217,0.07752953742072495
weighted_rbo_Spearmanr,0.4734479959299171,0.03133126604704786,0.35107618459752754,0.45260784104668306,0.8644799702096759,0.37479993164216163,0.48754837858117955,0.025389903372255076,0.8179965967351578,0.667655781779735,0.46746792096024126,0.31070389586056457,0.8891547566833815,0.296096893333727,0.5512156252707645,0.851405616113932,0.7209837516286677,0.8020819237774296,0.05376379348304405,0.5852004005383115,0.1224186545425347,0.1781846316380701,0.4839009326598257,0.48102230818403113,0.4787584034461704,0.43382531372784067,0.5044977212509015,0.45452744503797915,0.9438538128941515,0.5492380277648358,0.398541332841543,0.5343858225843123,0.10573369314159202,0.10344684388874119,0.36098451748669874,0.11408374754219669,0.012571283799587768,0.13791928426462272,0.4334816369549221,0.06832939422930935
