,mnist,ionosphere,vowels_odds,musk,kdd99,abalone,vertebral,wbc,smtp_all,shuttle_odds,cardio,kdd_ftp,kdd_http_distinct,http_logged,wikiqoe,kdd_ftp_distinct,penglobal,mean,var
n,7603.0,351.0,1456.0,3062.0,620098.0,1920.0,240.0,378.0,96554.0,49097.0,1831.0,5214.0,222027.0,567498.0,55932.0,2876.0,809.0,96290.94117647059,36071928351.70242
anomaly,700.0,126.0,50.0,97.0,1052.0,29.0,30.0,21.0,1183.0,3511.0,176.0,1393.0,75.0,2211.0,4494.0,282.0,90.0,912.9411764705883,1666686.1730103805
rhf_ap,0.3851828364211345,0.8151697297903258,0.1380560286373249,1.0,0.7824411337715671,0.3677593929326566,0.09765641143631865,0.5589684794715086,0.9635777883069212,0.936893982171694,0.581959662797774,0.9223549158322373,0.7751710886093852,0.9803389282645176,0.14051383510063964,0.43527830110024923,0.542314884152057,0.6131551411056654,0.09241195746997097
ap_best,0.5450339293809409,0.748064445872733,0.1851650214018635,0.9512539567211883,0.8246653321312151,0.4771252394636015,0.25798739188175246,0.5161833477376914,0.8825681460197453,0.9489728505994204,0.6404506228360138,0.9783809974899083,0.8030321908873819,0.9911096874490312,0.12454453179617209,0.8741141280690504,0.5540684571011252,0.6648658986375785,0.07543433202725569
ap_best_gap,-0.15985109295980637,0.06710528391759274,-0.04710899276453859,0.04874604327881171,-0.04222419835964797,-0.10936584653094494,-0.1603309804454338,0.04278513173381726,0.08100964228717589,-0.01207886842772643,-0.058490960038239836,-0.05602608165767098,-0.027861102277996652,-0.010770759184513534,0.015969303304467553,-0.4388358269688012,-0.011753572949068203,-0.05171075753191314,0.01397671290579909
ap_best_gap/%,-41.50005603703362,8.232062779717452,-34.123097143620264,4.874604327881171,-5.396469655949259,-29.738423717425434,-164.17865257109617,7.654301325589877,8.407172028063862,-1.2892460254390739,-10.050689725993077,-6.074243297887002,-3.5941874880780134,-1.0986770874824774,11.364933063729934,-100.81729915310724,-2.167296766609245,-21.146780302631683,1989.7107715570091
