,wine,musk,smtp_all,kdd_smtp,aloi,arrhytmia,mammography,penglobal,satimages,kdd_ftp_distinct,mnist,wbc,cardio,pima_odds,breastcancer,magicgamma,abalone,kdd_finger,wikiqoe,yeast,kdd_ftp,satellite,vowels_odds,vertebral,spambase,thyroid,shuttle_odds,kdd_other,annthyroid,ionosphere,mean,var
rbo_10,0.014374394404035831,0.8902076317928275,0.7519564413981571,0.16261722473677184,0.03142012698806117,0.2699852488549405,0.11548492844812312,0.3741748558781367,0.5393510530496283,0.23318172622086114,0.23381225547071033,0.3621564831504807,0.35023209269209005,0.3872642522613231,0.7522958130459108,0.4924443766172826,0.3151025821885283,0.173356499243341,0.10704823463903183,0.16476628810021285,0.8908674041501561,0.33892036559783556,0.09487876149331084,0.13411478822813674,0.39273216517475085,0.4673966408021347,0.9288963300603588,0.6977568802540082,0.20814823292039067,0.6597185221466556,0.38448875333360644,0.06978115209077612
weight_rbo_weight_kendall_all,0.032889226880430555,0.9233027231840177,0.7005621907728004,0.24500288011639312,0.031904750153343764,0.2972749825779851,0.10366092459369998,0.4692687694978406,0.6084858514754158,0.4124314602892542,0.29745511930663293,0.42490620889942854,0.40595987290912633,0.4235205074466367,0.8845849308037481,0.5341353474811226,0.30823583508498165,0.2838810004295288,0.11621324733374257,0.1645941281818138,0.8768381811269155,0.5034579686498662,0.10470706820648737,0.11605118415681166,0.41838847624846637,0.3777735391742235,0.8590988285191695,0.7058841808660655,0.22471751729337547,0.7489339678035094,0.4201373623154278,0.06930134170584672
rbo_weight_kendall_all,0.03398718566134146,0.8944089741359788,0.6178291734184458,0.24500288011639312,0.031398985151130536,0.3060654493127088,0.11104112644521213,0.597488728626819,0.6805601853576546,0.35237491499254553,0.4007194661270918,0.4678996596675556,0.4898711669500428,0.4270667130292819,0.8469807658340294,0.5271186851673837,0.38556620410811593,0.2177396562232794,0.11599851854678822,0.1971641033007836,0.9031077959605005,0.5633842669455147,0.15507125866612376,0.11387804926718507,0.5114454013831075,0.40877975588631105,0.7932697510399545,0.7970361274201403,0.2994311907898428,0.7300692846155298,0.4407251808048931,0.06661386158233498
rbo_kendall_all,0.030266405763662203,0.7466076933394972,0.5451483570351058,0.5672851772846806,0.0321059103353241,0.30504027790646154,0.0829495536613482,0.594196092634567,0.6096558849000626,0.38479309539495576,0.35085261773592,0.3907925368413033,0.5311673737183416,0.45578983398780615,0.8482983634897046,0.5558200056294451,0.34156375335178535,0.1639110093994462,0.10357529652196176,0.1875836253350176,0.904390768816117,0.5355705126059755,0.09727001369439804,0.11358384215123143,0.5108029731405374,0.34134503392810994,0.7201013751387391,0.760680371646386,0.3355490876008577,0.7220710334546689,0.42895892921478057,0.06167842299662428
best_tree_gap,-0.05885692631238795,-0.0025887579535257554,0.04721175174561465,0.07580315799602683,-0.0038063128547024747,0.03238007222239747,-0.1938710435008268,-0.06450407045301887,0.14655498348965312,-0.49759687578599754,-0.13755101473903575,-0.14327401725681932,-0.06279221586032435,-0.08306451548591182,0.009003250558719311,-0.019121943052367585,-0.18878833234645243,-0.36846744525210323,0.0022628836984488893,-0.09471264769130916,-0.05963932955987361,0.08362850121046184,-0.11461069158332524,-0.2170352327118579,-0.23997004674654154,-0.14935368629868162,-0.02571631046073175,-0.3900087732825662,-0.4291972178969712,-0.017085158284676383,-0.10549226548162287,0.023618431767504316
kendall_gap,0.04365120443896425,0.6088615272183463,0.5148760329472795,-0.2736573929579541,0.0032576590484888826,0.15470155328028368,0.048054458182320806,0.15865138619762442,0.594028801288586,0.021718919947629367,0.09808055129978058,0.299535897058751,0.1476946191960684,0.036716228232589965,0.06602567618483257,0.10913478684840106,0.15622201415220865,0.11365036081167032,0.020968108383313575,0.06433873435667564,0.0509852704768432,0.4465319801284507,0.09796921307319825,-0.020317801410938544,-0.023772186406923523,0.27362565945460066,0.36847283874196135,0.09407350656310265,0.04486100283155681,0.13580946325011145,0.14849166909392747,0.03630215922141724
weighted_kendall_gap,0.04378570752699262,0.32332321415422793,0.3766156603092732,0.07065620558901259,0.004553871062638135,0.15016580299079346,-0.02559144875417993,0.13251581957905867,0.5100433563881339,0.06354250228595693,0.053612289802864754,0.19920979272988515,0.2332246443362463,0.08467800866161301,0.09522353613473111,0.1304643829721479,0.07537614387566988,0.014005570324938987,0.012850216323458716,0.05651111321855204,0.042987394422345004,0.3682955254354143,0.0758173801647945,-0.022783187719757236,0.0163551363223558,0.12218149404360223,0.1299975717283356,-0.1862506844340278,0.05019149797112871,0.10301353760275989,0.11015240183496557,0.018578933946217645
rbo_gap,0.04333552385978816,0.24540859122139014,0.6324980240920404,0.30644522078361824,0.004819488367089935,0.22608986843247686,0.08785500598897211,0.04007579451680121,0.4389287519320851,0.21155126277555233,0.020430751803612035,0.2302236976277205,0.24938152173323302,0.09870431981052691,0.20265234688026357,0.15297732302711203,0.14554930298819693,0.13112048161677992,0.028994624742134892,0.05972826810623194,0.057686468562107684,0.15896260338988416,0.0621895491472067,-0.04150229281418874,-0.12451855645278953,0.3167531147132641,0.5662924273325064,-0.1562016909197831,0.02388606799198517,0.2099294618128983,0.15434157743562393,0.030388785256912573
weighted_rbo_gap,0.04183254001806828,0.366261865198672,0.44368205226072366,0.30644522078361824,0.00457000056483543,0.23528953484667764,0.0802651618507339,0.27370070376856814,0.5505253125247525,0.13954311913135764,0.20535386234920908,0.28342489822829037,0.3612770649823427,0.10314405517683917,0.17255647977801059,0.1693499285678699,0.15660448316296663,0.09734088897850748,0.02830048400108491,0.08985416648376632,0.23188728841825523,0.2947596010255031,0.10238465822316856,-0.037534950149124835,-0.016187503393960523,0.3747687510639691,0.4562553961241166,-0.08425329804515902,0.14134560048925512,0.18002381228719244,0.19175903929000365,0.023623529040415325
rbo_5_gap,0.03296017041217767,0.04250779914892577,0.21203141739133724,0.3119414037101918,0.005006945995505961,0.1863056681390639,0.04899371283547328,0.23489949591155085,0.30851658989421504,0.14025624263155345,0.1779419161477051,0.15838017777833263,0.3064957382872192,0.10214281057682545,0.18506463098743964,0.17071079121330035,0.04110689760449959,0.10849594252808378,0.017536545305648188,0.041139904276590866,0.019441643430281985,0.25848174755427145,0.07955500170284424,-0.08756932288812047,0.017273963741049114,0.10043421367001515,0.24851305086937825,-0.004501659404728797,0.10314694754459772,0.1981147375739808,0.1255108374856403,0.010765008812197507
