,abalone,aloi,annthyroid,arrhytmia,breastcancer,cardio,cover,http_all,http_logged,ionosphere,kdd99,kdd_finger,kdd_ftp,kdd_ftp_distinct,kdd_http,kdd_http_distinct,kdd_other,kdd_smtp,kdd_smtp_distinct,magicgamma,mammography,mnist,mulcross,musk,penglobal,pima_odds,satellite,satimages,shuttle_odds,smtp_all,spambase,thyroid,vertebral,vowels_odds,wbc,wikiqoe,wine,yeast,mean,var
n,1920.0,50000.0,7200.0,452.0,683.0,1831.0,286048.0,623091.0,567498.0,351.0,620098.0,1033.0,5214.0,2876.0,623091.0,222027.0,12844.0,96554.0,71257.0,19020.0,11183.0,7603.0,262144.0,3062.0,809.0,768.0,5100.0,5803.0,49097.0,96554.0,4601.0,3772.0,240.0,1456.0,378.0,55932.0,4898.0,1191.0,98096.81578947368,35524389951.72923
anomaly,29.0,1508.0,534.0,66.0,239.0,176.0,2747.0,4045.0,2211.0,126.0,1052.0,25.0,1393.0,282.0,4045.0,75.0,478.0,1183.0,25.0,6688.0,260.0,700.0,26214.0,97.0,90.0,268.0,75.0,71.0,3511.0,1183.0,1813.0,93.0,30.0,50.0,21.0,4494.0,25.0,55.0,1736.2368421052631,18626928.707063712
rhf_ap,0.38230258632653397,0.036605930518209456,0.3251144747134182,0.4318055765272392,0.9517935347252688,0.5660075738855144,0.06577066053307339,0.711979335617722,0.9829122827762857,0.8104498573661459,0.7728275702442907,0.2634304747946042,0.920235906158396,0.40921986703631513,0.5605314996285705,0.7583754059940755,0.5629302305027141,0.29959313755413963,0.07506257597877755,0.6317981559979758,0.14949274197756615,0.36368552885804306,0.7559834240142914,0.9965774073598614,0.5645237720764433,0.4946361279933063,0.6380593698079229,0.9216528855311419,0.9360367318289592,0.9575021233629778,0.3957981032261927,0.5567829427815953,0.09405822268517217,0.1350960168005783,0.5464631583821895,0.11831316222105878,0.06783105543697696,0.23125637136036986,0.5116446258574715,0.09028528272071035
good_trees,24.0,7.7,44.7,0.5,0.0,3.9,119.8,49.3,91.3,1.2,17.4,72.0,20.4,63.8,12.8,28.6,118.7,41.8,30.9,1.0,100.9,14.9,54.4,0.3,4.8,21.0,0.0,0.0,13.8,0.0,280.8,16.9,499.6,42.1,5.8,1.8,10.7,21.0,48.38421052631578,8201.924487534627
best_tree,0.5048268368504157,0.03922028964995453,0.6900580001663967,0.40304348280885777,0.9327242431492625,0.6402321909216192,0.7240965757488953,0.9582731675352892,0.9940101554308141,0.8214313403861888,0.901918850340446,0.6075454129416384,0.9732551443512616,0.8968035814520856,0.5708518295703303,0.8505410484491378,0.931021561151683,0.8289776161433455,0.4597845752434093,0.6319315345286685,0.3249470197871617,0.4545186490700148,0.9906558124084184,0.9408823486344785,0.6484577453120423,0.5653749752828514,0.5375470969221794,0.749011261186041,0.9527499129207879,0.8883904671714458,0.6388632111476668,0.6843049518564048,0.29608508449303617,0.2710042632190052,0.6308001768107354,0.12091766842036566,0.10358976063938671,0.29316909670782926,0.6434688668107774,0.07123850549514858
kendall,0.2041579581213127,0.032138316318002444,0.21467602463747992,0.25721423114603625,0.8932655275408263,0.3995008784976,0.06612942533463483,0.320665353964352,0.5930592521255125,0.6891432945828395,0.27973907463497905,0.20317877635966025,0.8816907321819055,0.36269885725475626,0.4418842780532607,0.39687192790366993,0.5505218152394413,0.48864625189792266,0.05137263504808755,0.5311547316894266,0.14436443549830508,0.2132593991821868,0.5951113443588638,0.5372768011948001,0.35044410266497283,0.444282199448947,0.2806313304092962,0.3045592919145726,0.5252725560452997,0.41435023752931793,0.41084964977128713,0.3975805988759145,0.12026960286203474,0.05270308980426598,0.28472107663308727,0.10286941596779797,0.0155313204997553,0.14352019178999964,0.3472448943942739,0.04676874168834732
weighted_kendall,0.24558270147869438,0.03170391602910181,0.322577214327867,0.27490612994666797,0.845841923782691,0.3686509891842347,0.09717328289373822,0.6320745188887047,0.969491048464544,0.6827910292381947,0.3820184604395113,0.2682798188008098,0.8611445398813299,0.3220866410295142,0.5433515517897598,0.48170569020534754,0.6577763707869222,0.24163321495150694,0.040519586873724464,0.5046938140777741,0.10871547873029326,0.2992762571071159,0.606424364152707,0.6592042973778321,0.38403658591795026,0.4016465911466316,0.3174103051283722,0.5024083714380485,0.7984228956326571,0.6301754167683596,0.3939599614427838,0.46243833948435265,0.12379358604358603,0.07362838042166336,0.35692154525466024,0.10587930413831606,0.02701832479664492,0.17140960825851265,0.39991505411345074,0.06122716785050046
rbo,0.11676267105055789,0.030241247958826822,0.16047779799577438,0.1876041343255616,0.7134883392516158,0.3673183292811001,0.09833320345686893,0.22882216086984863,0.780715326457878,0.6132784362825195,0.28339944833088276,0.14462042868304226,0.8410291149556997,0.3074898645455565,0.38242907629563244,0.44944664635928533,0.7099093446641683,0.1270781482023222,0.04446209911020062,0.45287057640817324,0.06312533514823106,0.31532704577147785,0.4097729648390665,0.6749509150255626,0.4644670135696483,0.4078397107236972,0.3903953934602219,0.3627329813695405,0.2240620591065007,0.36992779222428246,0.5257421664831454,0.27295759411074555,0.12605137365971794,0.06016030150217259,0.35355293328781195,0.10823337728679175,0.01162078861844003,0.11963058903108084,0.3236928086764119,0.04909820747211277
weighted_rbo,0.19175667529295412,0.030894593869718785,0.19633600208577875,0.20353721081021475,0.7424156652585047,0.21771211231619336,0.2582183795471347,0.2576807365363941,0.7727697946654795,0.6124131018615012,0.224088517586783,0.14538818394775432,0.5707464594458136,0.26692167010976775,0.3829024708082744,0.36989313523126166,0.7204901573841095,0.2084347320805032,0.04872839942721395,0.4770373609064394,0.10055528877755367,0.1616981897205494,0.4084360917751407,0.5944471389398088,0.3308114624621781,0.41758827677897087,0.29822302397487477,0.23704209716129737,0.5296284504779495,0.42775711840482994,0.4589529658841558,0.1959367132495598,0.13457399946641432,0.08588777212306034,0.20886471035504744,0.10831894195984618,0.013572337889607152,0.11426420642618378,0.3085506353947059,0.04052913792200715
Spearmanr,0.19940510494245883,0.03170532263710077,0.2152947970739052,0.2559227238803204,0.8774662985182639,0.3831901221810195,0.03373825771555731,0.40162800229750484,0.5930592521255125,0.6889250755175459,0.22187786364868506,0.20317877635966025,0.8698435514117314,0.40715655027095565,0.4418842780532607,0.44393901597644164,0.5315825407164348,0.48864625189792266,0.059595526543812914,0.5126261421977004,0.1059986092380644,0.21020671091500756,0.5043086906897531,0.44345102993537655,0.3537023320928294,0.4458287230000235,0.25672819394060553,0.28777546084291317,0.436460435852703,0.35872404232195365,0.41084964977128713,0.34980401263740035,0.11790073765760183,0.05940682374349339,0.28472107663308727,0.10286941596779797,0.014772448333607885,0.14352019178999964,0.3354656326139289,0.04457744340995872
