,thyroid,penglobal,satimages,arrhytmia,annthyroid,vowels_odds,http_all,ionosphere,kdd_ftp_distinct,abalone,wbc,kdd99,yeast,cover,mulcross,aloi,mammography,kdd_other,wikiqoe,musk,wine,satellite,pima_odds,kdd_http,kdd_smtp,spambase,shuttle_odds,mnist,magicgamma,cardio,kdd_http_distinct,smtp_all,breastcancer,http_logged,vertebral,kdd_smtp_distinct,kdd_ftp,kdd_finger,mean,var
rhf_ap,0.5450911337189177,0.565267168847587,0.9187242586000561,0.4235011547335362,0.29795651575499804,0.17220308114534924,0.7217285680535018,0.8105381250598042,0.40937981618821817,0.34777265470947094,0.5467849939461878,0.7926986034618514,0.21504759198274442,0.08456873764455812,0.7591108057433364,0.03570062057156311,0.13671373645138707,0.5540436828281307,0.1202731534248795,0.9974112420464742,0.0604941659267445,0.6362240153445946,0.49209024407007024,0.5563135514428554,0.3246438854907976,0.41007964968766597,0.9316060602747622,0.3421899099462738,0.6245152414039975,0.5886704088039771,0.755057382311943,0.9500692123639043,0.9533529471499765,0.9819873129257417,0.09629825018751062,0.07198821263190276,0.9154961924615543,0.2583181163465586,0.5106292211495628,0.09027155543534533
weighted_rbo,0.2946165615009301,0.4137011586338393,0.2068655563036257,0.19421840550551106,0.19633263489719338,0.06733426409945711,0.29886469767599455,0.602840736723783,0.22998283964111108,0.17068924201786978,0.25784085865844447,0.32827672810580716,0.16797090100434542,0.16250913377271223,0.44434374299578705,0.03137259043545142,0.06406930632866428,0.7717736465878245,0.08938509696492822,0.6501108715226703,0.020139290672198502,0.2808789677050104,0.4010265839046836,0.43411729721558084,0.24765345877895925,0.4292829577983113,0.3430643672379679,0.18574239140954563,0.42563691260988923,0.29450723888246166,0.46455794129386296,0.41821275072149067,0.7792382870910086,0.775667647718007,0.1322732599351663,0.05844572148401952,0.5637366628622231,0.1690373054916407,0.3175346846365258,0.04220169280468824
rbo_0.9,0.23832613297778246,0.37719753944735734,0.2021572994309388,0.1948414799534673,0.1940481926104221,0.07049161205251421,0.30588222396821146,0.6153606205887265,0.3202699534152077,0.1382177984552885,0.22974005152527094,0.3118966315561319,0.1576124389074697,0.028876410097883033,0.4646410239265995,0.03066441268791322,0.0834799981277545,0.40434623009412174,0.08617904267042632,0.5090083726408305,0.01878697172853869,0.27384203746853414,0.39811640570838736,0.48624831985179207,0.10769564121132724,0.4434887668121933,0.3453470538660358,0.12293166243270684,0.4173500108453124,0.291796016073797,0.4277253670134916,0.3805747466999053,0.7557469907246923,0.5706609548872026,0.13633799969659238,0.08339739239864577,0.5049457081468567,0.18768394962618257,0.2872608805349082,0.03212807620687458
rbo_0.8,0.23832613297778246,0.3386733698069561,0.2021572994309388,0.1801222141952868,0.1940481926104221,0.07049161205251421,0.30588222396821146,0.6214539162559054,0.3202699534152077,0.14325734706205587,0.22384821444039815,0.3118966315561319,0.16375600332607324,0.028876410097883033,0.4646410239265995,0.03066441268791322,0.0834799981277545,0.40434623009412174,0.0855372672997007,0.5152821580262752,0.01890113148455301,0.23162491324550846,0.39870877983728487,0.48624831985179207,0.10769564121132724,0.4434887668121933,0.3453470538660358,0.12293166243270684,0.4173500108453124,0.291796016073797,0.39778976948435296,0.3805747466999053,0.766027201473653,0.5706609548872026,0.1322732599351663,0.08287075445624857,0.5041922687338288,0.16603730549164067,0.28398760968896425,0.03247022584297747
rbo_0.7,0.27884365299083114,0.3386733698069561,0.16610480734362806,0.1801222141952868,0.1940481926104221,0.07049161205251421,0.30588222396821146,0.6306619347350676,0.3202699534152077,0.14325734706205587,0.22384821444039815,0.33870011537642913,0.16375600332607324,0.028876410097883033,0.4646410239265995,0.03066441268791322,0.0834799981277545,0.40434623009412174,0.0855372672997007,0.5468292606740989,0.01890113148455301,0.23162491324550846,0.39870877983728487,0.4866304692961097,0.10769564121132724,0.44206280254738645,0.3453470538660358,0.12127596031010199,0.4173500108453124,0.291796016073797,0.39778976948435296,0.3805747466999053,0.766027201473653,0.5707557594767307,0.12988199321782581,0.08287075445624857,0.5041922687338288,0.16603730549164067,0.28575149531533567,0.03326363930945481
rbo_0.6,0.27884365299083114,0.3386733698069561,0.16610480734362806,0.1801222141952868,0.1940481926104221,0.07049161205251421,0.30588222396821146,0.6306619347350676,0.3202699534152077,0.14325734706205587,0.2252638737914508,0.33870011537642913,0.16375600332607324,0.028876410097883033,0.4646410239265995,0.03066441268791322,0.0834799981277545,0.40434623009412174,0.0855372672997007,0.5468292606740989,0.01890113148455301,0.23162491324550846,0.39870877983728487,0.486609005042122,0.10769564121132724,0.44206280254738645,0.3453470538660358,0.12127596031010199,0.4173500108453124,0.291796016073797,0.3976469123414959,0.3805747466999053,0.766027201473653,0.6669233207467639,0.12988199321782581,0.08287075445624857,0.5041922687338288,0.16603730549164067,0.2883151505580789,0.0349373473124577
rbo_0.5,0.27884365299083114,0.3386733698069561,0.16610480734362806,0.1801222141952868,0.1940481926104221,0.07049161205251421,0.30588222396821146,0.6306619347350676,0.3202699534152077,0.14325734706205587,0.2252638737914508,0.33870011537642913,0.16375600332607324,0.028876410097883033,0.4646410239265995,0.03066441268791322,0.0834799981277545,0.40434623009412174,0.0855372672997007,0.5468292606740989,0.01890113148455301,0.23162491324550846,0.39870877983728487,0.48701284125144834,0.10769564121132724,0.4414757215419636,0.3453470538660358,0.11809612704393217,0.4173500108453124,0.291796016073797,0.3976469123414959,0.3805747466999053,0.766027201473653,0.6669233207467639,0.12988199321782581,0.0850040877895819,0.5041922687338288,0.16603730549164067,0.28828278885468583,0.03494209765503162
rbo_0.4,0.27884365299083114,0.3386733698069561,0.1766728995953041,0.18089010670747366,0.1940481926104221,0.07049161205251421,0.30588222396821146,0.6306619347350676,0.3202699534152077,0.14325734706205587,0.2252638737914508,0.33870011537642913,0.16375600332607324,0.028876410097883033,0.4646410239265995,0.03066441268791322,0.0834799981277545,0.40434623009412174,0.0855372672997007,0.5468292606740989,0.01890113148455301,0.23162491324550846,0.39870877983728487,0.48701284125144834,0.10769564121132724,0.4414757215419636,0.3453470538660358,0.11809612704393217,0.4173500108453124,0.291796016073797,0.3935875623719754,0.3805747466999053,0.766027201473653,0.665680300152838,0.12988199321782581,0.0850040877895819,0.5041922687338288,0.16603730549164067,0.28844156817574945,0.03482503558743535
rbo_0.3,0.27884365299083114,0.3386733698069561,0.1766728995953041,0.18089010670747366,0.1940481926104221,0.07049161205251421,0.30588222396821146,0.6306619347350676,0.3202699534152077,0.14325734706205587,0.2252638737914508,0.33870011537642913,0.16375600332607324,0.028876410097883033,0.4646410239265995,0.03066441268791322,0.08150469730009792,0.40434623009412174,0.0855372672997007,0.5468292606740989,0.021303171277709722,0.23162491324550846,0.4105908511126117,0.48701284125144834,0.10769564121132724,0.4412976317487642,0.3453470538660358,0.11809612704393217,0.4173500108453124,0.291796016073797,0.40461713924723836,0.3805747466999053,0.766027201473653,0.7631330416742987,0.12988199321782581,0.0850040877895819,0.5186801905965769,0.16603730549164067,0.29199685661540997,0.037290213633532965
rbo_0.2,0.27884365299083114,0.3386733698069561,0.1766728995953041,0.18089010670747366,0.1940481926104221,0.07049161205251421,0.30588222396821146,0.6306619347350676,0.3202699534152077,0.14325734706205587,0.2252638737914508,0.308573923349002,0.16375600332607324,0.028876410097883033,0.4646410239265995,0.03066441268791322,0.08150469730009792,0.40434623009412174,0.0855372672997007,0.5468292606740989,0.021303171277709722,0.23162491324550846,0.4153227480392103,0.5405952534808244,0.10769564121132724,0.4412976317487642,0.3453470538660358,0.12064657453454153,0.4173500108453124,0.291796016073797,0.3959404127529246,0.3805747466999053,0.766027201473653,0.7631330416742987,0.12988199321782581,0.0850040877895819,0.5186801905965769,0.16603730549164067,0.2925774313029058,0.03782273613535193
